sample_idx,event_name,split,input_start_utc,target_end_utc,target_mean_frp,target_max_frp,in_T0
0,antalya_2021,train,2021-07-29T00:00:00.000000000,2021-07-31T11:00:00.000000000,17481.216796875,24183.30078125,True
1,antalya_2021,train,2021-07-29T01:00:00.000000000,2021-07-31T12:00:00.000000000,17353.04296875,24183.30078125,True
2,antalya_2021,train,2021-07-29T02:00:00.000000000,2021-07-31T13:00:00.000000000,17269.068359375,24183.30078125,True
3,antalya_2021,train,2021-07-29T03:00:00.000000000,2021-07-31T14:00:00.000000000,17213.134765625,24183.30078125,True
4,antalya_2021,train,2021-07-29T04:00:00.000000000,2021-07-31T15:00:00.000000000,16579.18359375,24183.30078125,True
5,antalya_2021,train,2021-07-29T05:00:00.000000000,2021-07-31T16:00:00.000000000,15737.3330078125,24183.30078125,True
6,antalya_2021,train,2021-07-29T06:00:00.000000000,2021-07-31T17:00:00.000000000,14703.3427734375,24183.30078125,True
7,antalya_2021,train,2021-07-29T07:00:00.000000000,2021-07-31T18:00:00.000000000,13194.3916015625,24183.30078125,True
8,antalya_2021,train,2021-07-29T08:00:00.000000000,2021-07-31T19:00:00.000000000,11510.0673828125,19881.69921875,True
9,antalya_2021,train,2021-07-29T09:00:00.000000000,2021-07-31T20:00:00.000000000,10180.1494140625,16307.900390625,True
10,antalya_2021,train,2021-07-29T10:00:00.000000000,2021-07-31T21:00:00.000000000,9004.658203125,15717.7001953125,True
11,antalya_2021,train,2021-07-29T11:00:00.000000000,2021-07-31T22:00:00.000000000,8429.6826171875,15717.7001953125,True
12,antalya_2021,train,2021-07-29T12:00:00.000000000,2021-07-31T23:00:00.000000000,7308.70849609375,15717.7001953125,True
13,antalya_2021,train,2021-07-29T13:00:00.000000000,2021-08-01T00:00:00.000000000,6301.74072265625,15717.7001953125,True
14,antalya_2021,train,2021-07-29T14:00:00.000000000,2021-08-01T01:00:00.000000000,5477.16650390625,15717.7001953125,True
15,antalya_2021,train,2021-07-29T15:00:00.000000000,2021-08-01T02:00:00.000000000,4411.0,12697.2998046875,True
16,antalya_2021,train,2021-07-29T16:00:00.000000000,2021-08-01T03:00:00.000000000,3555.18359375,7705.39990234375,True
17,antalya_2021,train,2021-07-29T17:00:00.000000000,2021-08-01T04:00:00.000000000,2952.849609375,6473.2998046875,True
18,antalya_2021,train,2021-07-29T18:00:00.000000000,2021-08-01T05:00:00.000000000,2456.5,5173.0,True
19,antalya_2021,train,2021-07-29T19:00:00.000000000,2021-08-01T06:00:00.000000000,2083.199951171875,3971.39990234375,True
20,antalya_2021,train,2021-07-29T20:00:00.000000000,2021-08-01T07:00:00.000000000,2108.9833984375,4280.7998046875,True
21,antalya_2021,train,2021-07-29T21:00:00.000000000,2021-08-01T08:00:00.000000000,2445.30810546875,7958.60009765625,True
22,antalya_2021,train,2021-07-29T22:00:00.000000000,2021-08-01T09:00:00.000000000,3016.150146484375,9052.099609375,True
23,antalya_2021,train,2021-07-29T23:00:00.000000000,2021-08-01T10:00:00.000000000,3365.0,9052.099609375,True
24,antalya_2021,train,2021-07-30T00:00:00.000000000,2021-08-01T11:00:00.000000000,3879.1416015625,9052.099609375,True
25,antalya_2021,train,2021-07-30T01:00:00.000000000,2021-08-01T12:00:00.000000000,4399.85009765625,9052.099609375,True
26,antalya_2021,train,2021-07-30T02:00:00.000000000,2021-08-01T13:00:00.000000000,5109.0498046875,10507.0,True
27,antalya_2021,train,2021-07-30T03:00:00.000000000,2021-08-01T14:00:00.000000000,5786.150390625,11048.900390625,True
