event_name,pool,set_membership,country,start,end,ignition_year,duration_days,lon_min,lon_max,lat_min,lat_max,box_area_deg2,box_area_km2_approx,fire_slots,complete_days,gap_rate,sat_rate,peak_frp_mw,gate_fire_slots_ge15,gate_duration_ge5d,gate_complete_days_ge3,gate_gap_rate_lt040,gate_sat_rate_lt030,gate_all_criteria_pass,gate_metrics_source,gate_verdict_source,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,pixel_disjoint_dropped,dropped_in_favour_of,overlap_fraction,split_v6,split_seed,legacy_split,intensity_tier,wind_regime,date_added
tr_n_a_2025_0625,2025 test block,2025 primary,TR,2025-06-24,2025-07-12,2025,19.0,26.0,27.5,37.75,39.0,1.875,18093.0,106,19,0.0,0.0184,11560.8,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),373.0,225.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
tr_n_a_2025_0630,2025 test block,2025 primary,TR,2025-06-29,2025-07-11,2025,13.0,35.75,36.75,36.0,37.25,1.25,12348.0,40,13,0.0,0.0365,8169.9,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),229.0,89.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
tr_n_a_2025_0630_b,2025 test block,2025 primary,TR,2025-06-29,2025-07-11,2025,13.0,27.5,28.25,37.75,39.0,0.9375,9046.0,81,13,0.0,0.0074,10882.3,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),229.0,119.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
mk_vasilevo_2025_0701,2025 test block,2025 primary,MK,2025-06-30,2025-07-26,2025,27.0,22.0,23.25,40.75,42.0,1.5625,14432.0,151,26,0.0,0.0087,8282.0,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),565.0,385.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
mk_makedonski_brod_2025_0702,2025 test block,2025 primary,MK,2025-07-01,2025-07-18,2025,18.0,21.0,21.75,41.25,42.5,0.9375,8592.0,53,17,0.0,0.0,7442.2,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),349.0,181.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
ba_n_a_2025_0706,2025 test block,2025 primary,BA,2025-07-05,2025-07-18,2025,14.0,17.75,18.75,42.25,43.25,1.0,9039.0,57,13,0.0,0.0,2068.9,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),253.0,144.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
rs_zitoraa_2025_0706,2025 test block,2025 primary,RS,2025-07-05,2025-07-15,2025,11.0,21.25,22.0,42.75,43.5,0.5625,5053.0,32,10,0.0,0.0021,19922.3,True,True,True,True,True,True,gate_results_2026-08-24.csv,frozen gate (see criteria),181.0,85.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-24
it_niscemi_2025_0716,2025 test block,2025 primary,IT,2025-07-15,2025-08-01,2025,18.0,13.75,14.75,36.75,38.0,1.25,12227.0,76,17,0.0,0.002,5653.2,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),349.0,197.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-25
es_valmojado_2025_0717,2025 test block,2025 primary,ES,2025-07-16,2025-07-26,2025,11.0,-4.5,-3.75,39.75,40.75,0.75,7046.0,19,11,0.0,0.0075,10968.3,True,True,True,True,True,True,gate_results_2026-08-24.csv,frozen gate (see criteria),181.0,27.0,True,True,True,False,False,,,,,test_A_2025,,,2026-08-24
it_custonaci_2025_0720,2025 test block,2025 descriptive-only (pixel-disjointness drop),IT,2025-07-19,2025-08-04,2025,17.0,12.25,14.0,37.0,38.5,2.625,25547.0,73,17,0.0,0.0,3576.0,True,True,True,True,True,True,gate_results_w1_testA_2026-08-25.csv,frozen gate (see criteria),325.0,183.0,True,False,False,False,True,it_niscemi_2025_0716,0.127,,,test_A_2025,,,2026-08-25
