event,block,fire_slots,duration_days,complete_days,gap_rate,sat_rate,peak_frp_mw,fire_slots>=15,duration>=5d,complete_days>=3,gap_rate<0.40,sat_rate<0.30,verdict
es_oliola_2025_0701,test_A_2025,14,11,11,0.0,0.0095,6894.7,False,True,True,True,True,FAIL
gr_n38e25_2025_0622,test_A_2025,13,11,11,0.0,0.0192,3047.2,False,True,True,True,True,FAIL
gr_n38e25_2025_0812,test_A_2025,13,11,11,0.0,0.0769,1244.6,False,True,True,True,True,FAIL
al_diber_2025_0707,test_A_2025,10,11,10,0.0,0.0,328.7,False,True,True,True,True,FAIL
tr_n_a_2025_1004,test_A_2025,0,11,10,0.0,0.0,0.0,False,True,True,True,True,FAIL
gr_n35e22_2025_0726,test_A_2025,0,11,11,0.0,0.0,0.0,False,True,True,True,True,FAIL
es_buron_2025_0810,test_A_2025,154,11,11,0.0,0.0093,48308.0,True,True,True,True,True,PASS
fr_coustouge_2025_0805,test_A_2025,67,11,11,0.0,0.0058,45093.3,True,True,True,True,True,PASS
cy_n34e32_2025_0723,test_A_2025,61,11,11,0.0,0.0049,30542.2,True,True,True,True,True,PASS
tr_n_a_2025_0720,test_A_2025,68,11,11,0.0,0.0108,25746.0,True,True,True,True,True,PASS
al_finiq_2025_0806,test_A_2025,149,11,11,0.0,0.0033,23080.9,True,True,True,True,True,PASS
rs_zitoraa_2025_0706,test_A_2025,32,11,10,0.0,0.0021,19922.3,True,True,True,True,True,PASS
es_llerena_2025_0814,test_A_2025,42,11,11,0.0,0.0075,17714.4,True,True,True,True,True,PASS
tr_n_a_2025_0726,test_A_2025,55,11,11,0.0,0.0138,17596.7,True,True,True,True,True,PASS
es_puertas_2025_0813,test_A_2025,35,11,11,0.0,0.0043,16427.2,True,True,True,True,True,PASS
tr_n_a_2025_0808,test_A_2025,47,11,11,0.0,0.0543,16324.3,True,True,True,True,True,PASS
es_navaconcejo_2025_0812,test_A_2025,199,11,11,0.0,0.0082,15299.9,True,True,True,True,True,PASS
es_caceres_2025_0808,test_A_2025,62,11,11,0.0,0.0075,15132.7,True,True,True,True,True,PASS
tr_n_a_2025_0723,test_A_2025,84,11,11,0.0,0.0063,13098.1,True,True,True,True,True,PASS
al_delvine_2025_0724,test_A_2025,80,11,11,0.0,0.0033,12827.5,True,True,True,True,True,PASS
gr_n37e21_2025_0808,test_A_2025,50,11,11,0.0,0.0285,12067.8,True,True,True,True,True,PASS
tr_n_a_2025_0625,test_A_2025,85,11,11,0.0,0.0229,11560.8,True,True,True,True,True,PASS
es_valmojado_2025_0717,test_A_2025,19,11,11,0.0,0.0075,10968.3,True,True,True,True,True,PASS
tr_n_a_2025_0630_b,test_A_2025,76,11,11,0.0,0.0079,10882.3,True,True,True,True,True,PASS
pt_medelim_2025_0728,test_A_2025,57,11,11,0.0,0.0061,9902.6,True,True,True,True,True,PASS
al_tirane_2025_0722,test_A_2025,116,11,11,0.0,0.0013,8642.5,True,True,True,True,True,PASS
mk_vasilevo_2025_0701,test_A_2025,61,11,11,0.0,0.0208,8282.0,True,True,True,True,True,PASS
tr_n_a_2025_0630,test_A_2025,39,11,11,0.0,0.0375,8169.9,True,True,True,True,True,PASS
gr_n38e20_2025_0812,test_A_2025,36,11,11,0.0,0.0123,8043.2,True,True,True,True,True,PASS
mk_makedonski_brod_2025_0702,test_A_2025,47,11,11,0.0,0.0,7442.2,True,True,True,True,True,PASS
es_avila_2025_0808,test_A_2025,29,11,11,0.0,0.0361,6235.1,True,True,True,True,True,PASS
pt_lazarim_2025_0908,test_A_2025,72,11,10,0.0,0.0,6101.6,True,True,True,True,True,PASS
it_niscemi_2025_0716,test_A_2025,58,11,10,0.0,0.0026,5653.2,True,True,True,True,True,PASS
me_n_a_2025_0810,test_A_2025,74,11,11,0.0,0.0,5089.7,True,True,True,True,True,PASS
it_custonaci_2025_0720,test_A_2025,64,11,11,0.0,0.0,3576.0,True,True,True,True,True,PASS
mk_jegunovce_2025_0811,test_A_2025,50,11,11,0.0,0.0,2826.0,True,True,True,True,True,PASS
ba_n_a_2025_0706,test_A_2025,39,11,10,0.0,0.0,2068.9,True,True,True,True,True,PASS
ba_n_a_2025_0811,test_A_2025,36,11,11,0.0,0.0,708.6,True,True,True,True,True,PASS
es_alcampell_2026_0625,test_B_2026,14,11,10,0.0,0.0287,15170.5,False,True,True,True,True,FAIL
gr_n34e24_2026_0729,test_B_2026,10,11,11,0.0,0.0667,1815.2,False,True,True,True,True,FAIL
ba_n_a_2026_0731,test_B_2026,13,11,11,0.0,0.0,738.3,False,True,True,True,True,FAIL
ba_n_a_2026_0819,test_B_2026,2,11,5,0.4015,0.0,626.1,False,True,True,False,True,FAIL
rs_kovin_2026_0721,test_B_2026,0,11,10,0.0114,0.0,0.0,False,True,True,True,True,FAIL
es_navaluenga_2026_0722,test_B_2026,118,11,10,0.0114,0.0223,65652.6,True,True,True,True,True,PASS
es_niebla_2026_0807,test_B_2026,194,11,10,0.0,0.0166,50274.3,True,True,True,True,True,PASS
pt_cambra_e_carvalhal_2026_0702,test_B_2026,100,11,10,0.0,0.017,47924.6,True,True,True,True,True,PASS
es_mierla_la_2026_0716,test_B_2026,138,11,10,0.0114,0.0151,46236.1,True,True,True,True,True,PASS
es_luesia_2026_0715,test_B_2026,87,11,10,0.0114,0.0166,37023.7,True,True,True,True,True,PASS
es_pinofranqueado_2026_0818,test_B_2026,62,11,6,0.3106,0.0058,25262.5,True,True,True,True,True,PASS
dz_n_a_2026_0708,test_B_2026,119,11,11,0.0,0.005,23426.8,True,True,True,True,True,PASS
es_fermoselle_2026_0729,test_B_2026,27,11,11,0.0,0.0089,21729.2,True,True,True,True,True,PASS
pt_vilarandelo_2026_0722,test_B_2026,89,11,10,0.0114,0.021,19321.7,True,True,True,True,True,PASS
es_penas_de_riglos_la_2026_0810,test_B_2026,106,11,9,0.0,0.0152,19197.4,True,True,True,True,True,PASS
tr_n_a_2026_0729,test_B_2026,53,11,11,0.0,0.015,19099.7,True,True,True,True,True,PASS
dz_n_a_2026_0706,test_B_2026,93,11,11,0.0,0.0087,18876.6,True,True,True,True,True,PASS
fr_porge_2026_0722,test_B_2026,73,11,10,0.0114,0.0346,18034.4,True,True,True,True,True,PASS
fr_montalba_le_chatea_2026_0704,test_B_2026,81,11,11,0.0,0.0102,17805.8,True,True,True,True,True,PASS
