event,fire_slots,duration_days,complete_days,gap_rate,sat_rate,peak_frp_mw,verdict,failed_criteria
al_delvine_2025_0724,82,12,12,0.0,0.0032,12827.5,PASS,
al_finiq_2025_0806,159,18,18,0.0,0.0031,23080.9,PASS,
al_tirane_2025_0722,117,15,15,0.0,0.0013,8642.5,PASS,
ba_n_a_2025_0706,57,14,13,0.0,0.0,2068.9,PASS,
ba_n_a_2025_0811,39,20,20,0.0,0.0,1877.2,PASS,
es_avila_2025_0808,29,18,18,0.0,0.0361,6235.1,PASS,
es_buron_2025_0810,215,17,17,0.0,0.0067,48308.0,PASS,
es_caceres_2025_0808,67,18,18,0.0,0.0069,15132.7,PASS,
es_llerena_2025_0814,42,12,12,0.0,0.0075,17714.4,PASS,
es_navaconcejo_2025_0812,204,12,12,0.0,0.008,15299.9,PASS,
es_oimbra_2025_0813,215,13,13,0.0,0.0165,80110.1,PASS,
es_rua_a_2025_0808,432,20,20,0.0,0.0132,145235.2,PASS,
gr_n37e21_2025_0808,52,16,16,0.0,0.0274,12067.8,PASS,
it_custonaci_2025_0720,73,17,17,0.0,0.0,3576.0,PASS,
it_niscemi_2025_0716,76,18,17,0.0,0.002,5653.2,PASS,
me_n_a_2025_0810,76,19,19,0.0,0.0,5089.7,PASS,
mk_jegunovce_2025_0811,67,13,13,0.0,0.0,5488.9,PASS,
mk_makedonski_brod_2025_0702,53,18,17,0.0,0.0,7442.2,PASS,
mk_vasilevo_2025_0701,151,27,26,0.0,0.0087,8282.0,PASS,
pt_lazarim_2025_0908,141,22,21,0.0,0.0,6101.6,PASS,
pt_medelim_2025_0728,59,12,12,0.0,0.0059,9902.6,PASS,
pt_real_2025_0728,209,13,13,0.0,0.0058,23557.1,PASS,
pt_trancoso_sao_pedro_2025_0808,363,18,18,0.0,0.0125,137281.5,PASS,
tr_n_a_2025_0625,106,19,19,0.0,0.0184,11560.8,PASS,
tr_n_a_2025_0630,40,13,13,0.0,0.0365,8169.9,PASS,
tr_n_a_2025_0630_b,81,13,13,0.0,0.0074,10882.3,PASS,
tr_n_a_2025_0726,59,12,12,0.0,0.0129,17596.7,PASS,
tr_n_a_2025_0808,52,19,19,0.0,0.0491,16324.3,PASS,
