event_name,country,ignition_year,start,end,fire_slots,gap_rate,sat_rate,complete_days,peak_frp_mw,legacy_split,pinned,split_v6,split_seed
alexandroupolis_2023,GR,2023,2023-08-19,2023-08-28,127,0.1542,0.0055,5,28074.6,val,,val,20260825
antalya_2021,TR,2021,2021-07-28,2021-08-07,186,0.0,0.0146,11,26371.5,train,,train,20260825
arganil_2016,PT,2016,2016-08-06,2016-08-14,42,0.0231,0.0,7,4334.3,train,,train,20260825
ba_ljubinje_2021,BA,2021,2021-08-05,2021-08-15,70,0.0,0.004,11,8564.5,train,,train,20260825
ba_n_a_2020_0406,BA,2020,2020-04-05,2020-04-15,58,0.0,0.0,11,3155.3,dev_pool_2026,,train,20260825
ba_n_a_2020_0407,BA,2020,2020-04-06,2020-04-16,96,0.0,0.0018,11,10870.2,dev_pool_2026,,train,20260825
ba_n_a_2020_0407_b,BA,2020,2020-04-06,2020-04-16,96,0.0,0.002,11,10563.1,dev_pool_2026,,train,20260825
ba_n_a_2020_0409,BA,2020,2020-04-08,2020-04-18,53,0.0,0.0,9,3362.7,dev_pool_2026,,val,20260825
ba_trebinje_2022,BA,2022,2022-03-21,2022-03-31,18,0.053,0.0,6,873.7,train,train (D2),train,20260825
bejaia_2023,DZ,2023,2023-07-24,2023-08-02,52,0.0542,0.0018,6,17928.2,val,,val,20260825
bejis_2022,ES,2022,2022-08-08,2022-08-21,79,0.0744,0.0106,5,21257.7,train,,train,20260825
bonarcado_2021,IT,2021,2021-07-24,2021-08-06,36,0.0,0.0114,14,7332.7,train,,val,20260825
caceres_2023,ES,2023,2023-05-14,2023-05-23,51,0.0,0.0086,9,32268.9,val,,train,20260825
calabria_2021,IT,2021,2021-08-08,2021-08-22,124,0.0667,0.0038,5,16588.9,train,,train,20260825
castellon_2023,ES,2023,2023-03-23,2023-04-11,69,0.0,0.0011,20,18714.6,train,,train,20260825
corinthos_2024,GR,2024,2024-09-27,2024-10-05,15,0.0278,0.0,6,2159.8,test,,train,20260825
dz_n_a_2017_0729,DZ,2017,2017-07-28,2017-08-07,183,0.0076,0.0363,9,57655.6,dev_pool_2026,,train,20260825
dz_n_a_2019_0625,DZ,2019,2019-06-24,2019-07-04,81,0.0076,0.0003,9,14601.8,dev_pool_2026,,train,20260825
dz_n_a_2019_0801,DZ,2019,2019-07-31,2019-08-10,92,0.0,0.0,11,12501.6,dev_pool_2026,,train,20260825
dz_n_a_2020_0806,DZ,2020,2020-08-05,2020-08-15,118,0.0,0.0006,11,7998.7,dev_pool_2026,,train,20260825
dz_n_a_2023_1018,DZ,2023,2023-10-17,2023-10-27,37,0.0,0.0059,11,9610.7,dev_pool_2026,,train,20260825
el_tarf_2022,DZ,2022,2022-08-14,2022-08-21,33,0.0052,0.0202,7,7333.8,train,,train,20260825
es_andalucia2_2015,ES,2015,2015-07-06,2015-07-11,61,0.1319,0.0186,3,7589.5,train,,train,20260825
es_andalucia_2017,ES,2017,2017-06-25,2017-07-02,15,0.0,0.0048,8,4767.6,train,,train,20260825
es_aragon_2015,ES,2015,2015-07-04,2015-07-11,65,0.0,0.0044,6,45589.3,train,,train,20260825
es_asturias_2023,ES,2023,2023-03-28,2023-04-07,34,0.0114,0.0,9,17047.0,train,,train,20260825
es_carballeda_de_avia_2017_1013,ES,2017,2017-10-12,2017-10-22,77,0.0,0.0116,11,34894.3,dev_pool_2026,,val,20260825
es_castilla2_2017,ES,2017,2017-08-21,2017-08-26,78,0.0,0.0387,6,44208.6,train,,train,20260825
es_ibias_2017_1015,ES,2017,2017-10-14,2017-10-24,51,0.0,0.0206,11,32800.7,dev_pool_2026,,train,20260825
es_soutomaior_2017_1015,ES,2017,2017-10-14,2017-10-24,41,0.0,0.0123,11,31377.2,dev_pool_2026,,train,20260825
es_valencia_2012,ES,2012,2012-06-28,2012-07-05,75,0.0781,0.0544,3,39644.0,train,,train,20260825
evia_2021,GR,2021,2021-08-03,2021-08-12,78,0.0125,0.1211,9,5591.9,train,,train,20260825
evros_2011,GR,2011,2011-08-20,2011-09-02,39,0.1101,0.018,6,12629.4,train,,train,20260825
flix_2019,ES,2019,2019-06-22,2019-07-06,23,0.0278,0.0018,10,20266.4,train,,train,20260825
fr_mendive_2019_0214,FR,2019,2019-02-13,2019-02-23,75,0.0,0.0,11,3987.5,dev_pool_2026,,train,20260825
fr_vitrolles_2016_0810,FR,2016,2016-08-09,2016-08-19,16,0.0,0.0288,9,16161.2,dev_pool_2026,,train,20260825
gironde_2022,FR,2022,2022-07-12,2022-07-22,170,0.0,0.0,11,17591.2,train,,train,20260825
hellin_2021,ES,2021,2021-07-22,2021-08-05,18,0.0389,0.0369,10,10673.4,train,,train,20260825
