sample_idx,event_name,split,input_start_utc,target_end_utc,target_mean_frp,target_max_frp
0,monchique_2018,train,2018-08-04T00:00:00.000000000,2018-08-06T11:00:00.000000000,5882.42529296875,22910.69921875
1,monchique_2018,train,2018-08-04T01:00:00.000000000,2018-08-06T12:00:00.000000000,4241.27490234375,14063.900390625
2,monchique_2018,train,2018-08-04T02:00:00.000000000,2018-08-06T13:00:00.000000000,3803.099853515625,12028.599609375
3,monchique_2018,train,2018-08-04T03:00:00.000000000,2018-08-06T14:00:00.000000000,3234.116943359375,8805.7998046875
4,monchique_2018,train,2018-08-04T04:00:00.000000000,2018-08-06T15:00:00.000000000,3578.391845703125,11849.0
5,monchique_2018,train,2018-08-04T05:00:00.000000000,2018-08-06T16:00:00.000000000,4045.474853515625,11849.0
6,monchique_2018,train,2018-08-04T06:00:00.000000000,2018-08-06T17:00:00.000000000,4648.49169921875,11849.0
7,monchique_2018,train,2018-08-04T07:00:00.000000000,2018-08-06T18:00:00.000000000,5896.60888671875,17375.900390625
8,monchique_2018,train,2018-08-04T08:00:00.000000000,2018-08-06T19:00:00.000000000,6836.26708984375,17375.900390625
9,monchique_2018,train,2018-08-04T09:00:00.000000000,2018-08-06T20:00:00.000000000,7652.09130859375,17375.900390625
10,monchique_2018,train,2018-08-04T10:00:00.000000000,2018-08-06T21:00:00.000000000,8543.5078125,17375.900390625
11,monchique_2018,train,2018-08-04T11:00:00.000000000,2018-08-06T22:00:00.000000000,9700.416015625,17375.900390625
12,monchique_2018,train,2018-08-04T12:00:00.000000000,2018-08-06T23:00:00.000000000,11040.3583984375,17375.900390625
13,monchique_2018,train,2018-08-04T13:00:00.000000000,2018-08-07T00:00:00.000000000,12343.9658203125,18860.19921875
14,monchique_2018,train,2018-08-04T14:00:00.000000000,2018-08-07T01:00:00.000000000,12533.7763671875,18860.19921875
15,monchique_2018,train,2018-08-04T15:00:00.000000000,2018-08-07T02:00:00.000000000,13540.1494140625,18860.19921875
16,monchique_2018,train,2018-08-04T16:00:00.000000000,2018-08-07T03:00:00.000000000,14072.1494140625,18860.19921875
17,monchique_2018,train,2018-08-04T17:00:00.000000000,2018-08-07T04:00:00.000000000,14319.6669921875,18860.19921875
18,monchique_2018,train,2018-08-04T18:00:00.000000000,2018-08-07T05:00:00.000000000,14238.7744140625,18860.19921875
19,monchique_2018,train,2018-08-04T19:00:00.000000000,2018-08-07T06:00:00.000000000,13596.8916015625,18860.19921875
20,monchique_2018,train,2018-08-04T20:00:00.000000000,2018-08-07T07:00:00.000000000,13759.2666015625,18860.19921875
21,monchique_2018,train,2018-08-04T21:00:00.000000000,2018-08-07T08:00:00.000000000,14041.6083984375,18860.19921875
22,monchique_2018,train,2018-08-04T22:00:00.000000000,2018-08-07T09:00:00.000000000,13786.0263671875,18860.19921875
23,monchique_2018,train,2018-08-04T23:00:00.000000000,2018-08-07T10:00:00.000000000,13048.9091796875,18860.19921875
24,monchique_2018,train,2018-08-05T00:00:00.000000000,2018-08-07T11:00:00.000000000,12248.41796875,18860.19921875
25,monchique_2018,train,2018-08-05T01:00:00.000000000,2018-08-07T12:00:00.000000000,11759.5078125,18233.0
26,monchique_2018,train,2018-08-05T02:00:00.000000000,2018-08-07T13:00:00.000000000,12345.7080078125,18233.0
27,monchique_2018,train,2018-08-05T03:00:00.000000000,2018-08-07T14:00:00.000000000,12300.7412109375,18233.0
28,monchique_2018,train,2018-08-05T04:00:00.000000000,2018-08-07T15:00:00.000000000,12375.1572265625,19126.0
