event,block,n_windows,n_fire,evaluable,volatility_V,vol_tertile,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_B6_t1,SS_M2_t1,SS_M1_t1,SS_B6_t3,SS_M2_t3,SS_M1_t3,SS_B6_t6,SS_M2_t6,SS_M1_t6,SS_B6_t12,SS_M2_t12,SS_M1_t12,n_fire_calm,SS_B6_t6_calm,SS_M2_t6_calm,SS_M1_t6_calm,n_fire_exc,SS_B6_t6_exc,SS_M2_t6_exc,SS_M1_t6_exc
al_delvine_2025_0724,A2025,205,136,True,1.0431152894005133,mid,131.09364318847656,149.83514404296875,152.05691528320312,119.31907653808594,119.06021118164062,122.17716217041016,135.12985229492188,108.55043029785156,129.46034240722656,121.57064056396484,135.70547485351562,130.8170928955078,147.97647094726562,191.1558837890625,241.3338165283203,251.90589904785156,0.11409129877685487,0.1954112000409166,0.1251288696203443,0.21616253147452436,0.3608506327472989,0.36402354897892586,0.3699311705644891,0.440070793895291,0.4376856223230916,0.5263347266217838,0.5690834128611195,0.48069063332789186,91,0.3231303122441215,0.41890008127717326,0.4075871745138253,45,0.5403284601195169,0.5171513811603263,0.5472710348918122
al_finiq_2025_0806,A2025,349,211,True,1.0421179160738308,mid,915.333251953125,1627.3564453125,1717.29052734375,1632.058349609375,1210.78173828125,1584.6207275390625,1798.1917724609375,1803.556884765625,1105.6815185546875,1499.1202392578125,1691.6944580078125,1870.8570556640625,1269.521728515625,1825.1748046875,2303.154296875,2695.27734375,0.2789936309137703,0.046269385481929604,0.12905664100173064,0.10838324026112656,0.131797829189092,0.17864292482687072,0.25437452033768226,0.2192482392947851,0.26548800473196155,0.3944748011205943,0.3308455291445831,0.30587586468519157,189,0.2900491617868143,0.2799072781514348,0.3152358089716327,22,-0.2614324573011966,-0.6578013258927882,-0.45379924931057514
al_puke_2026_0814,B2026,181,111,True,1.0728190477586759,mid,155.9955596923828,251.26776123046875,199.5230255126953,199.5872039794922,215.75454711914062,215.0143585205078,221.06063842773438,196.8846893310547,198.8527374267578,208.5243682861328,202.94677734375,199.6736297607422,253.4495391845703,309.3305969238281,337.490966796875,362.2819519042969,0.3845103834306769,0.14872779878277442,0.2154148787702207,0.18770479309441612,0.30490432999922557,0.32588508747655054,0.40880484178178955,0.34498798434275224,0.3986601203880602,0.4490832266681155,0.4565429265903226,0.4488446672234738,89,0.30075275494675136,0.2609193016617316,0.2959461856973049,22,0.7217668111338016,0.5884841648992347,0.6961606085161309
al_tirane_2025_0722,A2025,277,134,True,0.9074962213443313,mid,265.354248046875,378.9347839355469,414.4215087890625,414.9710388183594,366.8704833984375,415.11822509765625,403.326171875,410.24066162109375,300.6136169433594,364.9924011230469,413.5760803222656,418.5454406738281,354.3678894042969,504.16046142578125,670.8887939453125,747.6783447265625,0.25118991877920005,-0.03528139644694628,0.15169058503381916,0.24838456616786708,0.17661487391595687,0.27603921955554156,0.3822798762937094,0.398818141672706,0.3835400381482922,0.4449872171032041,0.4513139714229317,0.44020654921215263,84,0.3381096967356776,0.3444023728453146,0.3467208436986876,50,0.5128288880032484,0.5596489345817283,0.49236238078766614
ba_n_a_2025_0706,A2025,253,144,True,1.0959944246049582,high,95.05487823486328,127.43534088134766,130.2992706298828,130.0294952392578,102.55269622802734,125.24723052978516,129.87510681152344,131.94357299804688,108.15644073486328,129.54269409179688,137.6116943359375,140.00982666015625,127.80555725097656,173.6013946533203,208.06459045410156,217.83262634277344,0.25625395108445514,0.19758812970361872,0.15374227020134634,0.26593135305258153,0.27853557409546037,0.25379231917755085,0.37375566719207587,0.375794283265256,0.3386106975934753,0.4030761258203436,0.3942892062898544,0.35725961252543537,108,0.2816894804870015,0.2829789764393409,0.24678475137267109,36,0.4918518689026815,0.494851488049151,0.45639875783156225
ba_n_a_2025_0811,A2025,397,125,True,0.8785753414360258,mid,58.5081787109375,64.93704223632812,69.77269744873047,67.34730529785156,64.04290008544922,68.75019073486328,83.8979263305664,70.69435119628906,71.29159545898438,71.14588928222656,70.83525848388672,68.93914794921875,75.41600036621094,89.20320129394531,106.43360137939453,100.71839904785156,0.224194091083737,0.15080487198386716,0.05468872503446154,0.2720323789462953,0.2292856115296199,0.2024289683530045,0.344448590064919,0.21173459092582214,0.3344652669283784,0.33133066118480803,0.2980989385792163,0.3155257768099988,86,0.28598406473021576,0.27739763717476507,0.26225056133889035,39,0.40485377779536036,0.14389212574113763,0.4090770401149897
ba_n_a_2026_0810,B2026,181,151,True,1.0604302990982017,mid,202.62014770507812,274.06494140625,383.6463623046875,409.6069641113281,224.5290069580078,343.9769287109375,444.2803649902344,434.1575012207031,245.92306518554688,318.7228088378906,393.4742431640625,412.47308349609375,270.0456848144531,363.5317687988281,459.0715026855469,525.3814086914062,0.24968196457463376,0.16855176888947354,0.08932792110890708,0.24610456381347912,0.05379128254045917,0.12326009390869486,0.16429933014710307,0.032219681702708725,0.14289115995600565,0.22036265970743674,0.17363368014471448,0.21490734793326416,126,0.18615079865971862,0.15571666091614178,0.16489975852816863,25,-0.0018220678979472549,-0.9066398729428362,-0.02442404144979604
cy_n34e32_2025_0723,A2025,181,118,True,0.9874441907831304,mid,131.34158325195312,161.9888153076172,164.57566833496094,172.49574279785156,162.4813995361328,168.23133850097656,166.88059997558594,136.4926300048828,168.29498291015625,184.7628173828125,171.72679138183594,141.18682861328125,180.2923583984375,244.2296600341797,249.9601593017578,224.11355590820312,0.2715077642853032,0.09878931653300205,0.06654400438740515,0.33673569670060954,0.3111756431326451,0.24348739069220693,0.34159240098626553,0.33237120490820404,0.3129833495804294,0.23031990591186824,0.39096664879660303,0.37002102331056064,78,0.14899765481615912,0.14811067749802698,0.12211959665246186,40,0.4372100815354554,0.4238513967553038,0.40774168774986297
dz_n_a_2026_0706,B2026,181,137,True,1.0577318193404528,mid,870.9527587890625,1382.0625,1475.42822265625,1934.211181640625,1300.375244140625,1502.15185546875,1529.8116455078125,1935.8482666015625,982.376708984375,1395.4945068359375,1515.6754150390625,1927.87939453125,1095.0115966796875,1741.162841796875,2207.783935546875,2803.3291015625,0.20461777625919209,-0.1875447238035146,0.10286182177142766,0.2062416754921581,0.1372708976958561,0.19852728685859666,0.3317153010759716,0.3070827172547239,0.3134856221047623,0.3100306415816295,0.3094466627116407,0.31228930864495996,98,0.2579436086988601,0.2104094244740553,0.22640064047886888,39,0.4180635070278561,0.4202366671542829,0.4154166463683061
dz_n_a_2026_0708,B2026,181,170,True,1.315681157633131,high,816.8206787109375,1502.7933349609375,1698.503173828125,1726.958984375,1082.609375,1442.87744140625,1689.8880615234375,1706.6790771484375,1048.146484375,1525.7552490234375,1756.4462890625,1763.655517578125,1160.927734375,1943.6165771484375,2517.75634765625,2726.3388671875,0.29640695581221244,0.06746187299691286,0.09714751974696956,0.22680566083370746,0.25763267386659316,0.21499164652014957,0.32539017311613894,0.32881191498274465,0.30237638336308625,0.36656480778688505,0.374003320831114,0.35310480336675176,126,0.30514391045926126,0.30389861636138815,0.27225555850868943,44,0.35505578852548847,0.3653159868988519,0.3465106038631397
