event_name,country,start,end,fire_slots,peak_frp_mw,gate_verdict,hourly_csv,era5_csv,d7_restored,included
al_puke_2026_0814,AL,2026-08-13,2026-08-23,72,3154.4,PASS,True,True,False,True
ba_n_a_2026_0731,BA,2026-07-30,2026-08-09,13,738.3,FAIL,True,False,False,False
ba_n_a_2026_0810,BA,2026-08-09,2026-08-19,68,8809.2,PASS,True,True,False,True
dz_n_a_2026_0706,DZ,2026-07-05,2026-07-15,93,18876.6,PASS,True,True,False,True
dz_n_a_2026_0708,DZ,2026-07-07,2026-07-17,119,23426.8,PASS,True,True,False,True
dz_n_a_2026_0712,DZ,2026-07-11,2026-07-21,115,10438.9,PASS,True,True,False,True
dz_n_a_2026_0716,DZ,2026-07-15,2026-07-25,66,13097.8,PASS,True,True,False,True
es_alcampell_2026_0625,ES,2026-06-24,2026-07-04,14,15170.5,FAIL,True,False,False,False
es_fermoselle_2026_0729,ES,2026-07-28,2026-08-07,27,21729.2,PASS,True,True,False,True
es_gallardos_los_2026_0709,ES,2026-07-08,2026-07-18,40,16490.5,PASS,True,True,False,True
es_luesia_2026_0715,ES,2026-07-14,2026-07-24,87,37023.7,PASS,True,True,False,True
es_mierla_la_2026_0716,ES,2026-07-15,2026-07-25,138,46236.1,PASS,True,True,False,True
es_navaluenga_2026_0722,ES,2026-07-21,2026-07-31,118,65652.6,PASS,True,True,False,True
es_niebla_2026_0807,ES,2026-08-06,2026-08-16,194,50274.3,PASS,True,True,False,True
es_nules_2026_0725,ES,2026-07-24,2026-08-03,77,16140.2,PASS,True,True,False,True
es_penas_de_riglos_la_2026_0810,ES,2026-08-09,2026-08-19,106,19197.4,PASS,True,True,False,True
es_pinofranqueado_2026_0818,ES,2026-08-17,2026-08-27,62,25262.5,PASS,True,True,False,True
es_san_bartolome_de_l_2026_0605,ES,2026-06-04,2026-06-14,33,9065.4,PASS,True,True,False,True
es_soba_2026_0224,ES,2026-02-23,2026-03-05,38,3073.8,PASS,True,True,False,True
es_valdesamario_2026_0722,ES,2026-07-21,2026-07-31,158,14590.5,PASS,True,True,False,True
fr_montalba_le_chatea_2026_0704,FR,2026-07-03,2026-07-13,81,17805.8,PASS,True,True,False,True
fr_porge_2026_0722,FR,2026-07-21,2026-07-31,73,18034.4,PASS,True,True,False,True
fr_solaure_en_diois_2026_0703,FR,2026-07-02,2026-07-12,64,7233.3,PASS,True,True,False,True
gr_n34e24_2026_0729,GR,2026-07-28,2026-08-07,10,1815.2,FAIL,True,False,False,False
gr_n37e22_2026_0731,GR,2026-07-30,2026-08-09,88,14772.7,PASS,True,True,False,True
hr_knin_2026_0813,HR,2026-08-12,2026-08-22,88,8809.2,PASS,True,True,False,True
it_bivona_2026_0714,IT,2026-07-13,2026-07-23,161,13592.1,PASS,True,True,False,True
mk_prilep_2026_0812,MK,2026-08-11,2026-08-21,60,2793.1,PASS,True,True,False,True
pt_cambra_e_carvalhal_2026_0702,PT,2026-07-01,2026-07-11,100,47924.6,PASS,True,True,False,True
pt_castedo_2026_0808,PT,2026-08-07,2026-08-17,88,7416.6,PASS,True,True,False,True
pt_cerdeira_2026_0727,PT,2026-07-26,2026-08-05,46,16340.6,PASS,True,True,False,True
pt_vilarandelo_2026_0722,PT,2026-07-21,2026-07-31,89,19321.7,PASS,True,True,False,True
rs_kovin_2026_0721,RS,2026-07-20,2026-07-30,0,0.0,FAIL,True,False,False,False
tn_n_a_2026_0714,TN,2026-07-13,2026-07-23,110,13891.6,PASS,True,True,False,True
tr_n_a_2026_0729,TR,2026-07-28,2026-08-07,53,19099.7,PASS,True,True,False,True
tr_n_a_2026_0729_b,TR,2026-07-28,2026-08-07,50,10798.4,PASS,True,True,False,True
