event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
al_delvine_2025_0724,205,136,True,True,True,False,A2025,1.0431152894005131,mid,119.06021118164062,122.17716217041016,135.12985229492188,108.55043029785156,131.09364318847656,149.83514404296875,152.05691528320312,119.31907653808594,129.46034240722656,121.57064056396484,135.70547485351562,130.8170928955078,147.97647094726562,191.1558837890625,241.3338165283203,251.9058990478516,0.1954112000409166,0.1140912987768548,0.1251288696203443,0.3608506327472989,0.2161625314745243,0.3640235489789258,0.440070793895291,0.3699311705644891,0.4376856223230916,0.5690834128611195,0.5263347266217838,0.4806906333278918,91,0.4189000812771732,0.3231303122441215,45,0.5171513811603263,0.5403284601195169
al_finiq_2025_0806,349,211,True,True,True,False,A2025,1.0421179160738308,mid,1210.78173828125,1584.6207275390625,1798.1917724609375,1803.556884765625,915.333251953125,1627.3564453125,1717.29052734375,1632.058349609375,1105.6815185546875,1499.1202392578125,1691.6944580078125,1870.8570556640625,1269.521728515625,1825.1748046875,2303.154296875,2695.27734375,0.0462693854819296,0.2789936309137703,0.1290566410017306,0.131797829189092,0.1083832402611265,0.1786429248268707,0.2192482392947851,0.2543745203376822,0.2654880047319615,0.3308455291445831,0.3944748011205943,0.3058758646851915,189,0.2799072781514348,0.2900491617868143,22,-0.6578013258927882,-0.2614324573011966
al_tirane_2025_0722,277,134,True,True,True,False,A2025,0.9074962213443312,mid,366.8704833984375,415.11822509765625,403.326171875,410.24066162109375,265.354248046875,378.9347839355469,414.4215087890625,414.9710388183594,300.6136169433594,364.9924011230469,413.5760803222656,418.5454406738281,354.3678894042969,504.1604614257813,670.8887939453125,747.6783447265625,-0.0352813964469462,0.2511899187792,0.1516905850338191,0.1766148739159568,0.248384566167867,0.2760392195555415,0.398818141672706,0.3822798762937094,0.3835400381482922,0.4513139714229317,0.4449872171032041,0.4402065492121526,84,0.3444023728453146,0.3381096967356776,50,0.5596489345817283,0.5128288880032484
ba_n_a_2025_0706,253,144,True,True,True,False,A2025,1.0959944246049582,high,102.55269622802734,125.24723052978516,129.87510681152344,131.94357299804688,95.05487823486328,127.43534088134766,130.2992706298828,130.0294952392578,108.15644073486328,129.54269409179688,137.6116943359375,140.00982666015625,127.80555725097656,173.6013946533203,208.0645904541016,217.83262634277344,0.1975881297036187,0.2562539510844551,0.1537422702013463,0.2785355740954603,0.2659313530525815,0.2537923191775508,0.375794283265256,0.3737556671920758,0.3386106975934753,0.3942892062898544,0.4030761258203436,0.3572596125254353,108,0.2829789764393409,0.2816894804870015,36,0.494851488049151,0.4918518689026815
ba_n_a_2025_0811,397,125,True,False,False,False,A2025,0.8785753414360258,mid,64.04290008544922,68.75019073486328,83.8979263305664,70.69435119628906,58.5081787109375,64.93704223632812,69.77269744873047,67.34730529785156,71.29159545898438,71.14588928222656,70.83525848388672,68.93914794921875,75.41600036621094,89.20320129394531,106.43360137939452,100.71839904785156,0.1508048719838671,0.224194091083737,0.0546887250344615,0.2292856115296199,0.2720323789462953,0.2024289683530045,0.2117345909258221,0.344448590064919,0.3344652669283784,0.2980989385792163,0.331330661184808,0.3155257768099988,86,0.277397637174765,0.2859840647302157,39,0.1438921257411376,0.4048537777953603
cy_n34e32_2025_0723,181,118,True,True,True,False,A2025,0.9874441907831304,mid,162.4813995361328,168.23133850097656,166.88059997558594,136.4926300048828,131.34158325195312,161.9888153076172,164.57566833496094,172.49574279785156,168.29498291015625,184.7628173828125,171.72679138183594,141.18682861328125,180.2923583984375,244.2296600341797,249.9601593017578,224.11355590820312,0.098789316533002,0.2715077642853032,0.0665440043874051,0.3111756431326451,0.3367356967006095,0.2434873906922069,0.332371204908204,0.3415924009862655,0.3129833495804294,0.390966648796603,0.2303199059118682,0.3700210233105606,78,0.1481106774980269,0.1489976548161591,40,0.4238513967553038,0.4372100815354554
es_avila_2025_0808,349,47,True,False,False,False,A2025,1.4829332533307982,high,403.2565307617188,449.5977783203125,456.3972473144531,452.5050659179688,337.3424072265625,494.1378479003906,458.8996887207031,466.1400146484375,519.0062866210938,458.3915100097656,458.7488098144531,466.2638854980469,687.4786376953125,696.5595703125,757.031982421875,879.680908203125,0.4134268199029621,0.5093048878471899,0.2450583070319123,0.3545451136094393,0.290602169633957,0.3419205915093295,0.3971228984879078,0.3938173031308342,0.3940166063435826,0.485603175312426,0.4701032950679858,0.469962481679342,34,0.0702743591964754,0.0701139524954733,13,0.8955251897833004,0.8874230613567733
es_buron_2025_0810,325,291,True,True,True,False,A2025,0.9895767329635048,mid,2501.000732421875,3070.4765625,3127.91796875,3452.528564453125,1844.075439453125,3242.206298828125,3530.025634765625,3755.2900390625,2197.504150390625,2875.598876953125,3246.2021484375,3470.96826171875,2260.1630859375,2691.775634765625,3167.1943359375,3750.01123046875,-0.106557640898943,0.184096293348577,0.0277231921611021,-0.1406881475719088,-0.2044860860442503,-0.0682906999429413,0.0124009969144738,-0.1145592156159012,-0.0249456787679602,0.079328473365249,-0.0014076780759642,0.0744112354871854,241,0.0425886867524054,-0.1080104776788681,50,-0.0982726827694897,-0.1385679961628219
es_caceres_2025_0808,349,107,True,False,False,False,A2025,0.9724523831731698,mid,1299.520263671875,1644.501708984375,1843.3677978515625,1756.94189453125,1042.266357421875,1681.275146484375,2005.806396484375,1881.158447265625,1153.1004638671875,1674.3831787109375,1910.576416015625,2001.2259521484373,1325.51953125,2246.42431640625,3179.951416015625,3703.762939453125,0.0196143979512749,0.2136921917408563,0.1300765951145335,0.2679469782382028,0.2515772135274874,0.2546451859150295,0.4203157354645241,0.3692336347082985,0.3991806269765232,0.5256332753330403,0.4920953424887972,0.4596776346479868,78,0.4326996625768763,0.3596525393865931,29,0.403167690206952,0.3825006815497076
es_carballeda_de_avia_2025_0815,181,104,True,False,False,False,A2025,0.8778904663446933,mid,451.7949523925781,581.2254638671875,651.4998779296875,624.583740234375,211.79237365722656,441.9267272949219,627.8916625976562,613.6566772460938,361.14251708984375,577.1534423828125,628.1140747070312,602.2650756835938,341.7259521484375,686.860595703125,967.2635498046876,995.866455078125,-0.3220972816145064,0.3802274239761893,-0.0568191113941858,0.1537941359524358,0.3565990973138725,0.1597225900082498,0.3264505024910324,0.3508577236013475,0.3506277840885643,0.3728237987638846,0.38379621673475,0.3952351014410395,74,0.1259724592872048,0.1882436496860265,30,0.5538033712273353,0.5352705939385652
