event,n_windows,n_fire,evaluable,in_primary,in_sensitivity,d7_restored,block,volatility_V,vol_tertile,MAE_M2_t1,MAE_M2_t3,MAE_M2_t6,MAE_M2_t12,MAE_B6_t1,MAE_B6_t3,MAE_B6_t6,MAE_B6_t12,MAE_M1_t1,MAE_M1_t3,MAE_M1_t6,MAE_M1_t12,MAE_B1_t1,MAE_B1_t3,MAE_B1_t6,MAE_B1_t12,SS_M2_t1,SS_B6_t1,SS_M1_t1,SS_M2_t3,SS_B6_t3,SS_M1_t3,SS_M2_t6,SS_B6_t6,SS_M1_t6,SS_M2_t12,SS_B6_t12,SS_M1_t12,n_fire_calm,SS_M2_t6_calm,SS_B6_t6_calm,n_fire_exc,SS_M2_t6_exc,SS_B6_t6_exc
al_puke_2026_0814,181,111,True,True,True,False,B2026,1.0728190477586759,mid,215.75454711914062,215.0143585205078,221.06063842773438,196.8846893310547,155.9955596923828,251.26776123046875,199.5230255126953,199.5872039794922,198.8527374267578,208.5243682861328,202.94677734375,199.6736297607422,253.4495391845703,309.3305969238281,337.490966796875,362.2819519042969,0.14872779878277442,0.3845103834306769,0.2154148787702207,0.30490432999922557,0.18770479309441612,0.32588508747655054,0.34498798434275224,0.40880484178178955,0.3986601203880602,0.4565429265903226,0.4490832266681155,0.4488446672234738,89,0.2609193016617316,0.30075275494675136,22,0.5884842696462873,0.7217668111338016
ba_n_a_2026_0810,181,151,True,True,True,False,B2026,1.0604302990982017,mid,224.5290069580078,343.9769287109375,444.2803649902344,434.1575012207031,202.62014770507812,274.06494140625,383.6463623046875,409.6069641113281,245.92306518554688,318.7228088378906,393.4742431640625,412.47308349609375,270.0456848144531,363.5317687988281,459.0715026855469,525.3814086914062,0.16855176888947354,0.24968196457463376,0.08932792110890708,0.05379128254045917,0.24610456381347912,0.12326009390869486,0.032219681702708725,0.16429933014710307,0.14289115995600565,0.17363368014471448,0.22036265970743674,0.21490734793326416,126,0.15571666091614178,0.18615079865971862,25,-0.9066398729428362,-0.0018220678979472549
dz_n_a_2026_0706,181,137,True,True,True,False,B2026,1.0577318193404528,mid,1300.375244140625,1502.15185546875,1529.8116455078125,1935.8482666015625,870.9527587890625,1382.0625,1475.42822265625,1934.211181640625,982.376708984375,1395.4945068359375,1515.6754150390625,1927.87939453125,1095.0115966796875,1741.162841796875,2207.783935546875,2803.3291015625,-0.1875447238035146,0.20461777625919209,0.10286182177142766,0.1372708976958561,0.2062416754921581,0.19852728685859666,0.3070827172547239,0.3317153010759716,0.3134856221047623,0.3094466627116407,0.3100306415816295,0.31228930864495996,98,0.2104094244740553,0.2579436086988601,39,0.4202366671542829,0.4180635070278561
dz_n_a_2026_0708,181,170,True,True,True,False,B2026,1.315681157633131,high,1082.609375,1442.87744140625,1689.8880615234375,1706.6790771484375,816.8206787109375,1502.7933349609375,1698.503173828125,1726.958984375,1048.146484375,1525.7552490234375,1756.4462890625,1763.655517578125,1160.927734375,1943.6165771484375,2517.75634765625,2726.3388671875,0.06746187299691286,0.29640695581221244,0.09714751974696956,0.25763267386659316,0.22680566083370746,0.21499164652014957,0.32881191498274465,0.32539017311613894,0.30237638336308625,0.374003320831114,0.36656480778688505,0.35310480336675176,126,0.30389861636138815,0.30514391045926126,44,0.3653159868988519,0.35505578852548847
dz_n_a_2026_0712,181,168,True,True,True,False,B2026,1.3411548544745207,high,445.13922119140625,481.9459533691406,474.8481140136719,463.1861877441406,337.25897216796875,446.1983947753906,446.1046447753906,438.80950927734375,400.982421875,465.1790466308594,450.4792175292969,442.122314453125,430.9297790527344,644.4571533203125,791.813720703125,809.46728515625,-0.03297391554119766,0.21736907365898894,0.06949474980254178,0.2521675787349038,0.30763683438607425,0.2781846795644878,0.4003032511333473,0.4366040482611834,0.4310792983869053,0.4277888727093737,0.457903342946539,0.4538107684391681,116,0.2974564207062632,0.35540514066263784,52,0.5934723828942781,0.5891135672895484
dz_n_a_2026_0716,178,117,True,True,True,False,B2026,1.2249649394510986,high,441.6139831542969,492.17376708984375,483.515380859375,481.91070556640625,342.0430908203125,466.9498291015625,479.1996154785156,475.8930358886719,441.8358154296875,521.1918334960938,497.5827941894531,468.70965576171875,508.9845886230469,714.3829345703125,841.3179931640625,755.4632568359375,0.13236276102387956,0.32798929777885866,0.1319269280333547,0.31105049788755557,0.346359205259538,0.27043073360986636,0.4252881968672143,0.43041796398966525,0.40856751165142235,0.3620990813176479,0.37006461719683525,0.37957319363910835,77,0.2784202989735671,0.28016885584351214,40,0.6598628910339686,0.6703931002847654
es_fermoselle_2026_0729,181,44,True,True,True,False,B2026,1.1132599295017709,high,55.45119857788086,54.85032653808594,55.017494201660156,55.6761474609375,59.727046966552734,50.614707946777344,56.124942779541016,56.90841293334961,73.14215850830078,56.55141830444336,56.562992095947266,56.31901550292969,58.2613639831543,51.13863754272461,58.2613639831543,58.2613639831543,0.04823377300411247,-0.025157031747870207,-0.2554144549284689,-0.07258091286183244,0.010245278738791996,-0.10584522822291764,0.0556778894231188,0.036669604992959126,0.0291509118752884,0.04437274285175141,0.0232220970692667,0.03333853427781441,37,0.05568085765216879,0.04001050966594155,7,,
es_gallardos_los_2026_0709,181,32,True,True,True,False,B2026,0.9332707535845413,mid,47.47027587890625,36.4058837890625,21.556583404541016,18.330713272094727,44.21124267578125,41.21187210083008,34.30087661743164,51.71025085449219,69.50321960449219,45.34511184692383,41.420555114746094,92.81153106689453,55.037498474121094,39.35625076293945,30.46875,27.368749618530273,0.13749212455164528,0.1967069016305384,-0.2628339138119249,0.07496565136878386,-0.04714934227520495,-0.1521705184789579,0.29250187800480765,-0.12577236077724363,-0.35944386017628216,0.3302319788959689,-0.8893903293076009,-2.3911498464677976,22,-0.031196931666625183,-0.600539578379067,10,0.7527234201292279,0.5492321950229474
es_luesia_2026_0715,178,134,True,True,True,False,B2026,0.9880532743729099,mid,352.03253173828125,526.7113037109375,761.6263427734375,1635.6129150390625,458.6142272949219,695.5283203125,942.7732543945312,1248.6376953125,420.4342346191406,635.2117309570312,743.3900756835938,796.1389770507812,534.800048828125,810.6044311523438,1147.3470458984375,1382.74560546875,0.34174925281015056,0.14245664655443568,0.2138478006118123,0.3502240014131527,0.1419633379948999,0.21637273799006596,0.336184857497026,0.1783015803589867,0.3520791478558457,-0.18287334168354885,0.09698668332472293,0.4242332256186122,117,0.2883252601122389,0.10914699999333477,17,0.6405245559815032,0.6180562108554211
es_mierla_la_2026_0716,178,138,True,True,True,False,B2026,0.8186513902036804,low,4548.03759765625,5757.70947265625,5828.0341796875,6168.7412109375,2258.947509765625,5511.41357421875,5469.67041015625,6316.7353515625,3363.48681640625,4643.931640625,5500.4775390625,6016.4580078125,3793.322509765625,6007.443359375,7880.3349609375,8417.5068359375,-0.19895885096710542,0.40449368490284343,0.11331377499613993,0.041570743455953574,0.08256919882268454,0.2269703827705929,0.260433191155347,0.30590889381362796,0.301999525866839,0.26715340644562047,0.2495716992359326,0.2852446543760464,75,0.2303254466813488,0.26856647513145804,63,0.28533195740620787,0.33679051561194595
